post_id|creator_name|hashtags|caption|likes|comments|shares|date
P182|cold_brew|#coldbrew #coffee #homebrewing #mornings #caffeine|24-hour cold brew concentrate. Worth the patience. Always worth the patience ☕|26500|1234|2100|2024-11-21
P183|travel_ukraine|#ukraine #kyiv #culture #resilience #history|Kyiv's spirit is unbreakable. The culture, the people, the determination 🇺🇦|51700|5678|12300|2024-10-27
P184|freediving|#freediving #underwater #breath #ocean #apnea|3 minutes 40 seconds static apnea. The ocean gives you silence nothing else can 🌊|38400|2890|4890|2024-11-10
P185|travel_jordan|#jordan #petra #desert #history #adventure|The Treasury appears around a corner and everything stops 🏜️ Petra earns every superlative.|61200|3456|6789|2024-10-23
P186|hand_lettering|#lettering #calligraphy #typography #art #handmade|Spent 3 hours getting this one letter right. Worth it for the 0.5 seconds of satisfaction ✍️|24700|1456|2345|2024-11-19
P187|travel_laos|#laos #mekong #vientiane #culture #slowtravel|Laos is everything you need and nothing you didn't ask for 🌿 Slow travel perfected.|43100|2100|3890|2024-11-08
P188|glass_blowing|#glassblowing #craft #art #handmade #fire|Working with 2000°F molten glass for 2 minutes = 6 months of practice 🔥|31500|1890|3102|2024-11-14
P189|travel_balkans|#balkans #montenegro #serbia #kotor #hidden|The Balkans are Europe's best-kept secret. Sharing it means I lose the secret 🏔️|49200|2890|5678|2024-11-02
P190|data_viz|#dataviz #design #infographic #stats #visualization|Visualized 10 years of personal spending. The patterns are humbling 📊|37800|3456|6789|2024-11-06
P191|travel_senegal|#senegal #dakar #africa #culture #music|Dakar has a heartbeat you feel in your chest 3 days before you arrive 🥁🇸🇳|47600|2890|5100|2024-10-31
P192|record_collect|#vinyl #records #music #collection #hifi|Found a first pressing of Kind of Blue at a garage sale for $4. I didn't breathe for an hour 🎷|35200|3102|4890|2024-11-12
P193|travel_usa|#usa #roadtrip #nationalparks #america #adventure|Hit all 63 national parks. A 4-year project, one tank of gas at a time 🏕️|68400|5678|11234|2024-10-18
P194|voice_coach|#singing #voice #training #music #performance|Went from tone-deaf to performing at an open mic in 18 months 🎤 Anything is learnable.|42700|3456|6789|2024-11-05
P195|travel_bolivia|#bolivia #uyuni #saltflats #southamerica #stunning|The Salar de Uyuni sky reflection is the closest thing to walking on clouds 🪞|66100|4102|8901|2024-10-20
P196|code_journey|#coding #programming #tech #learning #developer|1 year of coding daily. My first project vs my current project 💻 The growth is wild.|54900|4890|9012|2024-10-19
P197|travel_cambodia2|#cambodia #siem #reap #monks #culture|Sat with monks during morning alms in Siem Reap at 5AM 🧡 Stillness as a practice.|44300|2456|4502|2024-11-08
P198|origami_complex|#origami #complex #paper #crease #advanced|This origami dragon has 427 crease patterns. Took 11 hours start to finish 🐉|29800|2100|4102|2024-11-15
P199|travel_myanmar2|#myanmar #inle #lake #fishermen #culture|Inle Lake fishermen balance on one leg while rowing with the other. Beauty as function 🚣|52600|2890|5678|2024-11-03
P200|farewell_travels|#travel #worldtravel #adventure #summary #reflection|200 countries, 1 passport, 12 years. What I know for certain: the world is good 🌍|94300|12345|23456|2024-10-01
